 v-sweep         v(VREF)         v(VIN)          v(VOUT)        
 1.50000000e-01  2.50000000e-01  1.50000000e-01  4.15236859e-01 
 1.51000000e-01  2.50000000e-01  1.51000000e-01  4.15445883e-01 
 1.52000000e-01  2.50000000e-01  1.52000000e-01  4.15635641e-01 
 1.53000000e-01  2.50000000e-01  1.53000000e-01  4.15843735e-01 
 1.54000000e-01  2.50000000e-01  1.54000000e-01  4.16053362e-01 
 1.55000000e-01  2.50000000e-01  1.55000000e-01  4.16278363e-01 
 1.56000000e-01  2.50000000e-01  1.56000000e-01  4.16501281e-01 
 1.57000000e-01  2.50000000e-01  1.57000000e-01  4.16734931e-01 
 1.58000000e-01  2.50000000e-01  1.58000000e-01  4.16968844e-01 
 1.59000000e-01  2.50000000e-01  1.59000000e-01  4.17197426e-01 
 1.60000000e-01  2.50000000e-01  1.60000000e-01  4.17462464e-01 
 1.61000000e-01  2.50000000e-01  1.61000000e-01  4.17714410e-01 
 1.62000000e-01  2.50000000e-01  1.62000000e-01  4.17982716e-01 
 1.63000000e-01  2.50000000e-01  1.63000000e-01  4.18258130e-01 
 1.64000000e-01  2.50000000e-01  1.64000000e-01  4.18526500e-01 
 1.65000000e-01  2.50000000e-01  1.65000000e-01  4.18819657e-01 
 1.66000000e-01  2.50000000e-01  1.66000000e-01  4.19120979e-01 
 1.67000000e-01  2.50000000e-01  1.67000000e-01  4.19419201e-01 
 1.68000000e-01  2.50000000e-01  1.68000000e-01  4.19724371e-01 
 1.69000000e-01  2.50000000e-01  1.69000000e-01  4.20053698e-01 
 1.70000000e-01  2.50000000e-01  1.70000000e-01  4.20371714e-01 
 1.71000000e-01  2.50000000e-01  1.71000000e-01  4.20717862e-01 
 1.72000000e-01  2.50000000e-01  1.72000000e-01  4.21061013e-01 
 1.73000000e-01  2.50000000e-01  1.73000000e-01  4.21419805e-01 
 1.74000000e-01  2.50000000e-01  1.74000000e-01  4.21778834e-01 
